Initial_Price,Inventory,Product_Score,Shop_Score,Active_Time_Left,Product_Cost,Target_Price
17,0.262273,0.214256,0.350888,0.560186,13.6,18.92
15,0.100859,0.21664,0,0.967719,12,15.99
11,0.917193,0.232307,0.558706,0.308384,8.8,10.16
16,0.51746,0.729086,1,0.33889,12.8,21.07
15,0.13354,0.415919,0,0.730882,12,16.51
14,0.112543,0.583898,0.14336,0.70137,11.2,16.07
9,0.841641,0.494337,0.486343,0.725349,7.2,8.23
14,0.546075,0.430047,0.734658,0.893943,11.2,14.41
15,0.261017,0.734766,1,0.716649,12,20.19
13,0.575826,0.556216,1,0.682153,10.4,15.02
20,0.313853,0.302631,1,0.843117,16,22.54
25,0.791623,0.970798,1,0.645119,20,31.07
18,0.493091,0.224843,0.271774,0.302699,14.4,19.2
20,0.965158,0.138769,0.571871,0.828781,16,15.6
26,0.520312,0.614932,0.350049,0.24472,20.8,29.35
19,0.903022,0.491929,0.81821,0.703781,15.2,18.22
24,0.249805,0.183153,0.412093,0.535888,19.2,26.95
12,0.521487,0.109311,0.138469,0.38081,9.6,12.26
16,0.505746,0.539576,1,0.178618,12.8,20.44
23,0.813071,0.289299,0.524849,0.885832,18.4,19.74
20,0.073194,0.103054,0.280635,0.080233,16,25.32
17,0.836207,0.490602,1,0.803589,13.6,17.02
21,0.804236,0.632092,0,0.68347,16.8,17.67
18,0.406321,0.037969,0.348297,0.46201,14.4,18.91
19,0.036451,0.500108,0.249042,0.664049,15.2,22.85
15,0.767254,0.083543,0,0.282666,12,14.05
18,0.678928,0.791318,0,0.861575,14.4,15.41
18,0.918929,0.758036,0.571159,0.17848,14.4,19.26
25,0.46063,0.955468,0.397386,0.541442,20,28.98
14,0.778214,0.682914,0,0.607771,11.2,12.14
17,0.887289,0.053129,1,0.828453,13.6,13.61
19,0.674919,0.308853,0.391763,0.941809,15.2,16.91
13,0.800479,0.592595,0.228723,0.128148,10.4,13.11
17,0.939111,0.23512,1,0.230431,13.6,16.53
16,0.040656,0.964971,0,0.659158,12.8,18.43
8,0.875672,0.945048,0.867715,0.132474,6.4,10.01
22,0.276563,0.848401,0,0.224079,17.6,25.18
20,0.475764,0.472324,0.26892,0.574863,16,20.91
13,0.796761,0.841477,0,0.169524,10.4,12.32
16,0.717242,0.131111,1,0.78223,12.8,14.55
19,0.147148,0.308734,1,0.856976,15.2,22.67
15,0.658748,0.462996,0.435293,0.033674,12,16.66
15,0.069252,0.741847,1,0.532645,12,21.94
9,0.357071,0.485825,0.510007,0.796951,7.2,9.87
19,0.81283,0.136876,0.884031,0.97514,15.2,15.74
17,0.427705,0.343537,0.223581,0.274259,13.6,18.78
18,0.599854,0.324426,0,0.169101,14.4,18.47
9,0.728161,0.300419,0,0.876701,7.2,7.5
25,0.821228,0.165501,0.791561,0.909182,20,21.05
17,0.760515,0.414902,1,0.197533,13.6,19.08
15,0.007143,0.448121,0.734706,0.44153,12,20.11
27,0.420257,0.7749,0.337698,0.719232,21.6,29.5
16,0.463136,0.796391,1,0.845345,12.8,20.23
9,0.0555,0.52239,0.718651,0.168275,7.2,12.55
16,0.303867,0.819356,0.367991,0.436119,12.8,19.39
16,0.675392,0.467601,0.948588,0.363309,12.8,18.15
22,0.923658,0.739109,1,0.284143,17.6,25.73
10,0.069969,0.460646,1,0.772026,8,13.02
20,0.781769,0.864086,0,0.715819,16,16.88
8,0.035103,0.702164,0,0.162831,6.4,10.03
15,0.50908,0.167975,0.801362,0.760708,12,14.97
15,0.438792,0.179246,1,0.785828,12,15.59
22,0.690522,0.849905,0.588082,0.738607,17.6,23.67
16,0.779247,0.365112,1,0.228802,12.8,17.42
13,0.047229,0.381035,0.722482,0.330211,10.4,17.23
23,0.074561,0.041207,0.712049,0.276132,18.4,28.21
25,0.604845,0.634163,0.748341,0.897598,20,26.71
13,0.71235,0.804178,0.710377,0.925123,10.4,13.76
20,0.150775,0.897313,0.38835,0.618576,16,25.11
14,0.614764,0.194763,1,0.139304,11.2,15.46
17,0.150851,0.857342,1,0.137529,13.6,26.44
18,0.461732,0.17673,0.321042,0.365868,14.4,19.17
10,0.980263,0.373521,0.457387,0.11547,8,9.53
17,0.843519,0.382279,0.079367,0.511833,13.6,14.83
11,0.691915,0.570645,0.840185,0.259356,8.8,12.79
12,0.462799,0.511137,0,0.110478,9.6,13.11
14,0.916774,0.529077,0.433367,0.188114,11.2,13.82
7,0.732567,0.523203,0.973654,0.323959,5.6,8.02
9,0.002101,0.931878,0.880115,0.665539,7.2,13.45
18,0.672929,0.246576,0.886854,0.311959,14.4,19.01
20,0.578746,0.208303,0.00956,0.523949,16,19.29
21,0.479006,0.81603,0.982325,0.333768,16.8,28.61
14,0.274059,0.350872,0.871176,0.615255,11.2,16.65
16,0.01025,0.550978,0.443246,0.95366,12.8,19.25
6,0.62936,0.972911,0.985506,0.448015,4.8,8.05
25,0.295172,0.112776,0,0.20705,20,28.51
8,0.187287,0.313259,1,0.425367,6.4,10.12
12,0.095288,0.041798,1,0.444574,9.6,14.28
19,0.283756,0.7384,0.432161,0.507617,15.2,23.04
10,0.214924,0.657512,0.90567,0.525733,8,13.47
11,0.285604,0.214636,0.623985,0.042429,8.8,13.54
12,0.47141,0.416753,0.185432,0.164419,9.6,13.31
19,0.549497,0.643842,0.643855,0.450227,15.2,21.96
28,0.845113,0.661481,1,0.707971,22.4,30.38
17,0.98851,0.170477,0.409454,0.777588,13.6,13.21
11,0.048868,0.881652,0.412165,0.777103,8.8,13.97
19,0.232118,0.778008,0.562765,0.502779,15.2,24.35
14,0.643311,0.133954,0.816748,0.956748,11.2,12.53
16,0.161467,0.868917,1,0.331874,12.8,24.27
22,0.870146,0.748778,0.28266,0.481458,17.6,20.69
13,0.217402,0.798586,0.854198,0.748374,10.4,17.37
17,0.741755,0.543345,0.708058,0.85784,13.6,16.76
12,0.653021,0.220838,0,0.41446,9.6,11.47
16,0.798886,0.918459,0.390342,0.848685,12.8,15.27
18,0.031248,0.592085,0.533836,0.444571,14.4,23.85
12,0.229574,0.346238,0.580215,0.715747,9.6,13.74
15,0.704627,0.263779,0.763002,0.008448,12,16.45
15,0.087563,0.913915,0,0.025201,12,18.9
13,0.030589,0.419735,0.623128,0.94045,10.4,15.66
11,0.357135,0.540192,0.261162,0.102138,8.8,13.12
9,0.589782,0.608442,0,0.661968,7.2,8.39
16,0.052223,0.82625,0.862148,0.283259,12.8,24.12
15,0.065664,0.623563,0.96764,0.200842,12,22.12
28,0.043501,0.176712,0.273375,0.388334,22.4,34.28
4,0.395151,0.591257,1,0.925902,3.2,4.77
17,0.668427,0.489266,0.409242,0.570274,13.6,16.98
18,0.198027,0.547908,0.633245,0.916715,14.4,21.17
23,0.876266,0.699521,0.050631,0.702264,18.4,18.93
19,0.432389,0.245811,1,0.501216,15.2,21.38
12,0.619641,0.186627,0,0.506087,9.6,11.41
17,0.290427,0.110583,0.554274,0.218821,13.6,19.8
15,0.155141,0.062776,1,0.216969,12,18.29
20,0.269548,0.574724,0.412248,0.464267,16,23.88
18,0.548205,0.485485,0.798184,0.31959,14.4,21.09
12,0.252277,0.301422,0.364277,0.909094,9.6,12.73
4,0.844678,0.039796,1,0.785627,3.2,3.28
21,0.502215,0.633894,1,0.705751,16.8,25.44
22,0.484689,0.124336,0.30227,0.139903,17.6,24.05
9,0.905259,0.011606,0.864171,0.611821,7.2,7.38
25,0.915268,0.276667,1,0.851495,20,21.86
14,0.241628,0.301546,0.813143,0.923768,11.2,15.63
30,0.018767,0.180318,0.220921,0.662211,24,35.28
20,0.67029,0.066978,0.518817,0.258979,16,19.88
15,0.270563,0.779234,0.963405,0.2768,12,21.55
23,0.014306,0.400748,0.822041,0.635478,18.4,29.88
17,0.09713,0.245815,0.171589,0.724406,13.6,19.26
17,0.418838,0.523772,0.823464,0.305587,13.6,21.15
17,0.120548,0.254986,0.092676,0.677963,13.6,19.14
16,0.207089,0.851908,0,0.506493,12.8,17.85
20,0.745055,0.483504,0.686932,0.829386,16,19.38
21,0.455688,0.62315,1,0.683298,16.8,25.84
18,0.11351,0.973073,0.820949,0.910101,14.4,25.06
26,0.215324,0.354748,1,0.11994,20.8,34.63
10,0.930243,0.224646,1,0.839733,8,8.5
14,0.007895,0.978714,0.776765,0.94827,11.2,19.76
21,0.641872,0.587074,0.278331,0.573621,16.8,20.87
11,0.644663,0.981681,0.576381,0.004145,8.8,13.94
24,0.680251,0.968666,0,0.033512,19.2,24.51
20,0.578153,0.705104,0.581905,0.412466,16,23.01
16,0.784528,0.019386,0.554577,0.458277,12.8,14.38
19,0.821847,0.61283,0.688145,0.477652,15.2,19.84
14,0.646829,0.249559,1,0.681421,11.2,14.07
9,0.17964,0.129436,0,0.754891,7.2,9.69
21,0.726273,0.366261,0.975724,0.820785,16.8,20.75
21,0.284712,0.200094,0.329696,0.346309,16.8,24.01
17,0.841477,0.766481,0.996611,0.61495,13.6,19.48
16,0.570167,0.934181,0.686827,0.392867,12.8,20
6,0.085268,0.026402,0.082283,0.725346,4.8,6.73
12,0.910952,0.256064,1,0.563473,9.6,11.1
14,0.462456,0.266198,0.230214,0.594779,11.2,14.29
18,0.942904,0.142328,0.861473,0.387737,14.4,16.1
23,0.040492,0.951499,0.304062,0.63446,18.4,29.27
14,0.107455,0.247612,0.361256,0.867792,11.2,15.67
13,0.75572,0.356186,0.656265,0.651694,10.4,12.49
21,0.041778,0.048939,1,0.128594,16.8,26.82
16,0.451563,0.238131,0.947077,0.088738,12.8,19.07
10,0.816086,0.882825,0.590209,0.677466,8,10.46
23,0.419198,0.964433,1,0.355594,18.4,33.28
12,0.189959,0.656028,0.615304,0.314726,9.6,15.87
14,0.843411,0.296861,0.45125,0.890054,11.2,11.73
11,0.107246,0.059336,0.115931,0.863915,8.8,11.96
18,0.288019,0.864436,0.683533,0.805662,14.4,22.68
23,0.447758,0.709649,0.821258,0.543492,18.4,28.64
15,0.934889,0.727693,0.707513,0.121998,12,16.61
20,0.840755,0.942748,1,0.529165,16,24.7
18,0.873504,0.391868,0.026219,0.534595,14.4,15.26
18,0.84515,0.93924,1,0.944181,14.4,20.68
16,0.156091,0.477172,0.628411,0.595063,12.8,19.82
16,0.930836,0.903727,0.589689,0.460989,12.8,16.78
18,0.908526,0.763658,1,0.27395,14.4,21.37
21,0.356974,0.400971,0,0.666296,16.8,21.5
23,0.531113,0.071953,0.91045,0.830058,18.4,21.8
19,0.574084,0.403581,1,0.200591,15.2,22.64
18,0.176426,0.558274,1,0.044795,14.4,25.99
14,0.591059,0.555063,1,0.65602,11.2,16.16
11,0.970656,0.210127,0.993346,0.011782,8.8,10.92
23,0.997088,0.942752,0.507183,0.935681,18.4,20.82
14,0.094319,0.621737,0.747514,0.638943,11.2,18.49
15,0.028698,0.707047,1,0.49348,12,22.09
15,0.22988,0.722422,0.791201,0.794435,12,19.17
15,0.669784,0.947095,0,0.962488,12,12.59
14,0.218513,0.311676,1,0.75456,11.2,16.61
14,0.813717,0.11106,0.582055,0.933757,11.2,11.39
19,0.267714,0.727712,0.518512,0.861067,15.2,22.26
17,0.695649,0.314199,0.285009,0.473544,13.6,16.37
14,0.750906,0.332064,0.285887,0.138876,11.2,14.14
18,0.577818,0.059746,0.724686,0.126042,14.4,19.1
10,0.404952,0.182485,0.572901,0.069361,8,11.66
19,0.699416,0.230797,0.804079,0.394589,15.2,19.3
3,0.520537,0.034821,0.421451,0.965321,2.4,2.71
20,0.758146,0.631224,0,0.743246,16,16.96
12,0.953531,0.224184,0.510026,0.416437,9.6,10.57
16,0.955289,0.668684,0.52347,0.984558,12.8,13.78
25,0.528819,0.623325,0,0.930164,20,22.56
29,0.035158,0.728023,0.639319,0.421979,23.2,40.24
16,0.649854,0.833901,0,0.37051,12.8,15.46
17,0.78695,0.113234,0.217024,0.759381,13.6,14.33
19,0.877631,0.154064,0.889414,0.291347,15.2,17.96
12,0.075375,0.096498,0.620889,0.895998,9.6,13.38
24,0.15944,0.111991,1,0.048326,19.2,30.51
23,0.970128,0.560891,0.881431,0.769163,18.4,21.99
13,0.362812,0.350762,1,0.474584,10.4,15.6
15,0.087886,0.5435,0.568336,0.519113,12,19.27
12,0.343833,0.879589,0.660834,0.944193,9.6,14.47
11,0.57111,0.114097,1,0.643525,8.8,10.87
9,0.165513,0.031439,0.59898,0.43825,7.2,10.38
19,0.631616,0.95281,1,0.463788,15.2,25.38
18,0.065566,0.288743,0.777246,0.248831,14.4,23.65
8,0.912874,0.441949,1,0.256759,6.4,8.48
18,0.088654,0.259022,0.407158,0.022994,14.4,23.44
20,0.199388,0.596891,0.859909,0.932405,16,24.78
26,0.471953,0.655286,1,0.392259,20.8,33.67
21,0.440997,0.275695,0,0.648287,16.8,20.87
17,0.765551,0.857972,1,0.35674,13.6,21.52
14,0.012744,0.888724,0,0.11044,11.2,17.82
21,0.680663,0.285061,0.53509,0.448558,16.8,20.98
24,0.275603,0.65956,0.915761,0.468924,19.2,32.1
22,0.60398,0.97212,0.306731,0.058146,17.6,25.65
17,0.545973,0.796874,0.74536,0.816604,13.6,19.65
19,0.20979,0.179464,1,0.289341,15.2,23.37
10,0.136123,0.784673,0.745017,0.651091,8,13.49
15,0.607996,0.148292,1,0.483504,12,15.29
20,0.041749,0.682287,1,0.62315,16,28.63
18,0.561275,0.163489,0.657221,0.973073,14.4,16.63
12,0.668138,0.648225,0.589022,0.354748,9.6,13.37
4,0.938393,0.251614,0,0.224646,3.2,3.52
21,0.786006,0.041376,0.182796,0.978714,16.8,16.65
22,0.75043,0.958723,0.367246,0.587074,17.6,22.51
9,0.497051,0.06622,0.716855,0.981681,7.2,8.31
25,0.042733,0.51294,1,0.968666,20,32.36
14,0.816867,0.341297,0.340186,0.705104,11.2,12.3
30,0.013624,0.66001,0.209924,0.019386,24,40.38
20,0.550041,0.844427,1,0.61283,16,25.9
15,0.566797,0.603867,0.536632,0.249559,12,17.29
23,0.112918,0.587214,0,0.129436,18.4,28.27
17,0.062776,0.117033,1,0.366261,13.6,21.22
17,0.574724,0.71045,0.171249,0.200094,13.6,18.34
17,0.485485,0.204523,0.319265,0.766481,13.6,16.64
16,0.301422,0.490368,0.08324,0.934181,12.8,16.14
20,0.039796,0.036609,0.779385,0.026402,16,25.8
21,0.633894,0.315404,1,0.256064,16.8,23.55
18,0.124336,0.86303,0.412248,0.266198,14.4,24.11
26,0.011606,0.558467,0.798184,0.142328,20.8,37.58
10,0.276667,0.546708,0.364277,0.951499,8,10.79
14,0.301546,0.367825,1,0.247612,11.2,17.88
21,0.180318,0.828157,1,0.356186,16.8,31.25
11,0.066978,0.27635,0.30227,0.048939,8.8,14.27
24,0.779234,0.125658,0.864171,0.238131,19.2,23.62
20,0.400748,0.562781,1,0.882825,16,23.76
16,0.245815,0.267339,0.813143,0.964433,12.8,17.53
19,0.523772,0.775035,0.220921,0.656028,15.2,19.53
14,0.254986,0.179406,0.518817,0.296861,11.2,16.46
9,0.851908,0.783257,0.963405,0.059336,7.2,11.24
14,0.274059,0.350872,0.871176,0.615255,11.2,16.65
16,0.01025,0.550978,0.443246,0.95366,12.8,19.25
6,0.62936,0.972911,0.985506,0.448015,4.8,8.05
25,0.295172,0.112776,0,0.20705,20,28.51
8,0.187287,0.313259,1,0.425367,6.4,10.12
12,0.095288,0.041798,1,0.444574,9.6,14.28
19,0.283756,0.7384,0.432161,0.507617,15.2,23.04
10,0.214924,0.657512,0.90567,0.525733,8,13.47
11,0.285604,0.214636,0.623985,0.042429,8.8,13.54
12,0.47141,0.416753,0.185432,0.164419,9.6,13.31
19,0.549497,0.643842,0.643855,0.450227,15.2,21.96
28,0.845113,0.661481,1,0.707971,22.4,30.38
17,0.98851,0.170477,0.409454,0.777588,13.6,13.21
11,0.048868,0.881652,0.412165,0.777103,8.8,13.97
19,0.232118,0.778008,0.562765,0.502779,15.2,24.35
14,0.643311,0.133954,0.816748,0.956748,11.2,12.53
16,0.161467,0.868917,1,0.331874,12.8,24.27
22,0.870146,0.748778,0.28266,0.481458,17.6,20.69
13,0.217402,0.798586,0.854198,0.748374,10.4,17.37
17,0.741755,0.543345,0.708058,0.85784,13.6,16.76
12,0.653021,0.220838,0,0.41446,9.6,11.47
16,0.798886,0.918459,0.390342,0.848685,12.8,15.27
18,0.031248,0.592085,0.533836,0.444571,14.4,23.85
12,0.229574,0.346238,0.580215,0.715747,9.6,13.74
15,0.704627,0.263779,0.763002,0.008448,12,16.45
15,0.087563,0.913915,0,0.025201,12,18.9
13,0.030589,0.419735,0.623128,0.94045,10.4,15.66
11,0.357135,0.540192,0.261162,0.102138,8.8,13.12
9,0.589782,0.608442,0,0.661968,7.2,8.39
16,0.052223,0.82625,0.862148,0.283259,12.8,24.12
15,0.065664,0.623563,0.96764,0.200842,12,22.12
28,0.043501,0.176712,0.273375,0.388334,22.4,34.28
4,0.395151,0.591257,1,0.925902,3.2,4.77
17,0.668427,0.489266,0.409242,0.570274,13.6,16.98
18,0.198027,0.547908,0.633245,0.916715,14.4,21.17
23,0.876266,0.699521,0.050631,0.702264,18.4,18.93
19,0.432389,0.245811,1,0.501216,15.2,21.38
12,0.619641,0.186627,0,0.506087,9.6,11.41
17,0.290427,0.110583,0.554274,0.218821,13.6,19.8
15,0.682287,0.334806,0.368184,0.828157,12,13.66
20,0.163489,0.734735,1,0.27635,16,29.46
18,0.648225,0.189107,0.011784,0.125658,14.4,18.3
12,0.251614,0.331104,1,0.562781,9.6,14.63
4,0.041376,0.844228,0.956353,0.267339,3.2,6.21
21,0.958723,0.615024,0.509497,0.775035,16.8,18.62
22,0.06622,0.885264,0.8671,0.179406,17.6,33.98
9,0.51294,0.976553,0.306694,0.783257,7.2,9.52
25,0.341297,0.836909,0,0.607996,20,26.05
14,0.66001,0.180825,1,0.041749,11.2,15.4
30,0.844427,0.618411,1,0.561275,24,32.92
20,0.603867,0.476109,0.657221,0.668138,16,21
15,0.587214,0.404157,0.589022,0.938393,12,14.59
23,0.117033,0.741884,0,0.786006,18.4,25.21
17,0.71045,0.825933,0.182796,0.75043,13.6,15.74
17,0.204523,0.68323,0.367246,0.497051,13.6,20.73
17,0.490368,0.139272,0.716855,0.042733,13.6,19.3
16,0.036609,0.702825,1,0.816867,12.8,22.45
20,0.315404,0.058837,0.340186,0.013624,16,23.58
21,0.86303,0.192665,0.209924,0.550041,16.8,18.08
18,0.558467,0.924794,1,0.566797,14.4,24
26,0.546708,0.405102,0.536632,0.112918,20.8,29.79
10,0.367825,0.148292,0,0.062776,8,11.4
17,0.560186,0.103054,1,0.156423,13.6,18.46
15,0.967719,0.490602,1,0.476898,12,15.21
11,0.308384,0.632092,1,0.734722,8.8,14.11
16,0.33889,0.037969,1,0.356309,12.8,17.73
15,0.730882,0.500108,0.271774,0.564454,12,14.24
14,0.70137,0.083543,0.571871,0.045469,11.2,14.41
9,0.725349,0.791318,0.350049,0.640441,7.2,8.93
14,0.893943,0.758036,0.81821,0.681206,11.2,14.76
15,0.716649,0.262273,0.412093,0.395637,12,14.66
13,0.682153,0.100859,0.138469,0.136673,10.4,13.07
20,0.843117,0.917193,1,0.416458,16,24.93
25,0.645119,0.51746,0.524849,0.738463,20,25.07
18,0.302699,0.13354,0.280635,0.584308,14.4,19.39
20,0.828781,0.112543,1,0.883433,16,16.74
26,0.24472,0.841641,0,0.57875,20.8,28.25
19,0.703781,0.546075,0.348297,0.17797,15.2,20.12
24,0.535888,0.261017,0.249042,0.591752,19.2,23.84
12,0.38081,0.575826,0,0.053878,9.6,13.64
16,0.178618,0.313853,0,0.743413,12.8,17.28
23,0.885832,0.791623,0.571159,0.201038,18.4,24.99
20,0.080233,0.493091,0.271907,0.904675,16,22.81
17,0.803589,0.965158,0.269147,0.473568,13.6,16.79
21,0.68347,0.520312,0.984674,0.441653,16.8,24.01
18,0.46201,0.903022,0.150498,0.13608,14.4,20.56
19,0.664049,0.249805,1,0.807696,15.2,18.48
15,0.282666,0.521487,0,0.917029,12,15.05
18,0.861575,0.505746,0,0.694588,14.4,14.7
18,0.17848,0.813071,0.486925,0.667544,14.4,22.56
14,0.579711,0.073194,0.798714,0.706618,11.2,13.3
6,0.463634,0.836207,1,0.744814,4.8,7.8
16,0.673222,0.804236,0.353127,0.714595,12.8,16.02
29,0.476124,0.406321,0.411951,0.142963,23.2,33.29
3,0.952511,0.036451,0.51513,0.666358,2.4,2.38
